stop_id,pagerank
147,1.0000019944811263
151,1.0000019944811263
101,0.642253472081897
150,1.0000019944811263
153,1.0000019944811263
134,1.0000019945350527
130,1.0000019966040103
180,1.0000888006381765
193,1.0047067851775775
105,1.0273390171554562
125,1.0000446249996098
138,1.000001994481837
157,1.0000019944811265
171,1.0000019966040103
104,1.0490232804340822
170,1.0000019952221806
111,1.000892497766396
152,1.0000019944811263
175,1.0000020460487884
146,1.0000019944811263
140,1.0000019944811849
185,1.0000422491781775
195,1.0152169058334466
103,1.0880399679067507
199,1.1582014471421538
145,1.0000019944811263
162,1.0000019944812562
192,1.0027030515242947
160,1.0000019944811342
112,1.0004466586884033
139,1.0000019944812562
120,1.0000052787237095
169,1.00000199484384
184,1.0001091156150304
200,0.642253472081897
131,1.0000019952221806
166,1.0000019944956224
142,1.0000019944811296
194,1.0085529050310724
172,1.0000019987350943
113,1.0003333552646905
126,1.0000020460487884
118,1.0000137020303947
190,1.000892497766396
186,1.0001614812228445
135,1.0000019944956224
165,1.0000019944879426
136,1.0000019944879426
114,1.000136915225251
123,1.000087498702882
176,1.0000446249996098
198,1.0880399679067507
196,1.0273390171554562
168,1.0000019945935164
177,1.0000022153465453
197,1.0490232804340822
119,1.0000934031718816
189,1.0004466586884033
137,1.0000019944826688
156,1.0000019944811263
158,1.0000019944811265
107,1.0085529050310724
121,1.0000888006381765
127,1.0000020161544256
191,1.0014525446410292
161,1.0000019944811849
179,1.000002872539325
188,1.0003333552646905
110,1.0014525446410292
149,1.0000019944811263
133,1.0000019945935164
154,1.0000019944811263
106,1.0152169058334466
132,1.00000199484384
173,1.0000020055002148
183,1.0000137020303947
108,1.0047067851775775
144,1.0000019944811265
109,1.0027030515242947
178,1.000087498702882
148,1.0000019944811263
167,1.0000019945350527
159,1.0000019944811296
122,1.000002872539325
115,1.0001614812228445
187,1.000136915225251
182,1.0000934031718816
116,1.0000422491781775
128,1.0000020055002148
117,1.0001091156150304
102,1.1582014471421538
181,1.0000052787237095
124,1.0000022153465453
164,1.0000019944826688
141,1.0000019944811342
143,1.0000019944811265
163,1.000001994481837
174,1.0000020161544256
155,1.0000019944811263
129,1.0000019987350943
