"stop_id","stop_name","latitude","longitude"
"101","Majestic Bus Stand","12.9784","77.572"
"102","KR Market","12.9611","77.575"
"103","Majestic Bus Stand Stop 1","12.9094","77.5078"
"104","KR Market Stop 1","12.9141","77.5117"
"105","Yeshwanthpur Stop 1","12.9188","77.5156"
"106","Shivajinagar Stop 1","12.9235","77.5195"
"107","Jayanagar Stop 1","12.9282","77.5234"
"108","Indiranagar Stop 1","12.9329","77.5273"
"109","Koramangala Stop 1","12.9376","77.5312"
"110","Whitefield Stop 1","12.9423","77.5351"
"111","Electronic City Stop 1","12.947","77.539"
"112","Banashankari Stop 1","12.9517","77.5429"
"113","Hebbal Stop 1","12.9564","77.5468"
"114","Malleswaram Stop 1","12.9611","77.5507"
"115","BTM Layout Stop 1","12.9658","77.5546"
"116","Marathahalli Stop 1","12.9705","77.5585"
"117","Silk Board Stop 1","12.9752","77.5624"
"118","Vijayanagar Stop 1","12.9799","77.5663"
"119","Rajajinagar Stop 1","12.9846","77.5702"
"120","Basavanagudi Stop 1","12.9893","77.5741"
"121","Kengeri Stop 1","12.994","77.578"
"122","Peenya Stop 1","12.9987","77.5819"
"123","Domlur Stop 1","13.0034","77.5858"
"124","Ulsoor Stop 1","13.0081","77.5897"
"125","HSR Layout Stop 1","13.0128","77.5936"
"126","Bellandur Stop 1","13.0175","77.5975"
"127","Nagawara Stop 1","13.0222","77.6014"
"128","RT Nagar Stop 1","13.0269","77.6053"
"129","Frazer Town Stop 1","13.0316","77.6092"
"130","Cox Town Stop 1","13.0363","77.6131"
"131","Bommanahalli Stop 1","13.041","77.617"
"132","JP Nagar Stop 1","13.0457","77.6209"
"133","Majestic Bus Stand Stop 2","13.0504","77.6248"
"134","KR Market Stop 2","13.0551","77.6287"
"135","Yeshwanthpur Stop 2","13.0598","77.6326"
"136","Shivajinagar Stop 2","13.0645","77.6365"
"137","Jayanagar Stop 2","13.0692","77.6404"
"138","Indiranagar Stop 2","13.0739","77.6443"
"139","Koramangala Stop 2","13.0786","77.6482"
"140","Whitefield Stop 2","13.0833","77.6521"
"141","Electronic City Stop 2","13.088","77.656"
"142","Banashankari Stop 2","13.0927","77.6599"
"143","Hebbal Stop 2","13.0974","77.6638"
"144","Malleswaram Stop 2","13.1021","77.6677"
"145","BTM Layout Stop 2","13.1068","77.6716"
"146","Marathahalli Stop 2","13.1115","77.6755"
"147","Silk Board Stop 2","13.1162","77.6794"
"148","Vijayanagar Stop 2","13.1209","77.6833"
"149","Rajajinagar Stop 2","13.1256","77.6872"
"150","Basavanagudi Stop 2","13.1303","77.6911"
"151","Kengeri Stop 2","13.135","77.695"
"152","Peenya Stop 2","13.1397","77.6989"
"153","Domlur Stop 2","13.1444","77.7028"
"154","Ulsoor Stop 2","13.1491","77.7067"
"155","HSR Layout Stop 2","13.1538","77.7106"
"156","Bellandur Stop 2","13.1585","77.7145"
"157","Nagawara Stop 2","13.1632","77.7184"
"158","RT Nagar Stop 2","13.1679","77.7223"
"159","Frazer Town Stop 2","13.1726","77.7262"
"160","Cox Town Stop 2","13.1773","77.7301"
"161","Bommanahalli Stop 2","13.182","77.734"
"162","JP Nagar Stop 2","13.1867","77.7379"
"163","Majestic Bus Stand Stop 3","13.1914","77.7418"
"164","KR Market Stop 3","13.1961","77.7457"
"165","Yeshwanthpur Stop 3","13.2008","77.7496"
"166","Shivajinagar Stop 3","13.2055","77.7535"
"167","Jayanagar Stop 3","13.2102","77.7574"
"168","Indiranagar Stop 3","13.2149","77.7613"
"169","Koramangala Stop 3","13.2196","77.7652"
"170","Whitefield Stop 3","13.2243","77.7691"
"171","Electronic City Stop 3","13.229","77.773"
"172","Banashankari Stop 3","13.2337","77.7769"
"173","Hebbal Stop 3","13.2384","77.7808"
"174","Malleswaram Stop 3","13.2431","77.7847"
"175","BTM Layout Stop 3","13.2478","77.7886"
"176","Marathahalli Stop 3","13.2525","77.7925"
"177","Silk Board Stop 3","13.2572","77.7964"
"178","Vijayanagar Stop 3","13.2619","77.8003"
"179","Rajajinagar Stop 3","13.2666","77.8042"
"180","Basavanagudi Stop 3","13.2713","77.8081"
"181","Kengeri Stop 3","13.276","77.812"
"182","Peenya Stop 3","13.2807","77.8159"
"183","Domlur Stop 3","13.2854","77.8198"
"184","Ulsoor Stop 3","13.2901","77.8237"
"185","HSR Layout Stop 3","13.2948","77.8276"
"186","Bellandur Stop 3","13.2995","77.8315"
"187","Nagawara Stop 3","13.3042","77.8354"
"188","RT Nagar Stop 3","13.3089","77.8393"
"189","Frazer Town Stop 3","13.3136","77.8432"
"190","Cox Town Stop 3","13.3183","77.8471"
"191","Bommanahalli Stop 3","13.323","77.851"
"192","JP Nagar Stop 3","13.3277","77.8549"
"193","Majestic Bus Stand Stop 4","13.3324","77.8588"
"194","KR Market Stop 4","13.3371","77.8627"
"195","Yeshwanthpur Stop 4","13.3418","77.8666"
"196","Shivajinagar Stop 4","13.3465","77.8705"
"197","Jayanagar Stop 4","13.3512","77.8744"
"198","Indiranagar Stop 4","13.3559","77.8783"
"199","Koramangala Stop 4","13.3606","77.8822"
"200","Whitefield Stop 4","13.3653","77.8861"
